country,coverage,year,passengers
CHE,"NAT",2014,611910
CYP,"NAT",2014,11
CZE,"NAT",2014,127801
DEU,"NAT",2014,23062317
DNK,"NAT",2014,1999491
EST,"NAT",2014,16630
GRC,"NAT",2014,6265654
ESP,"NAT",2014,29192848
FIN,"NAT",2014,2558976
FRA,"NAT",2014,28408936
HRV,"NAT",2014,520586
HUN,"NAT",2014,159
IRL,"NAT",2014,67913
ISL,"NAT",2014,0
ITA,"NAT",2014,27387041
LTU,"NAT",2014,1055
LUX,"NAT",2014,610
LVA,"NAT",2014,145
MNE,"NAT",2014,
MKD,"NAT",2014,
MLT,"NAT",2014,4
NLD,"NAT",2014,6313
NOR,"NAT",2014,15641988
POL,"NAT",2014,1524010
PRT,"NAT",2014,2793774
ROU,"NAT",2014,529111
RS,"NAT",2014,
SWE,"NAT",2014,7479950
SVN,"NAT",2014,0
SVK,"NAT",2014,26768
TUR,"NAT",2014,43018277
GBR,"NAT",2014,21963781
AUT,TOTAL,2014,26566052
BEL,TOTAL,2014,29102061
BGR,TOTAL,2014,7548609
CHE,TOTAL,2014,46211924
CYP,TOTAL,2014,7428455
CZE,TOTAL,2014,12210556
DEU,TOTAL,2014,187344202
DNK,TOTAL,2014,29274102
EST,TOTAL,2014,2019806
GRC,TOTAL,2014,39116331
ESP,TOTAL,2014,165710956
FIN,TOTAL,2014,17211934
FRA,TOTAL,2014,137173327
HRV,TOTAL,2014,6157845
HUN,TOTAL,2014,9054848
IRL,TOTAL,2014,26346808
ISL,TOTAL,2014,3867735
ITA,TOTAL,2014,119434054
LTU,TOTAL,2014,3824888
LUX,TOTAL,2014,2433966
LVA,TOTAL,2014,4822828
MNE,TOTAL,2014,
MKD,TOTAL,2014,
MLT,TOTAL,2014,4286626
NLD,TOTAL,2014,61163636
NOR,TOTAL,2014,38072892
POL,TOTAL,2014,25743021
PRT,TOTAL,2014,32259584
ROU,TOTAL,2014,11014976
RS,TOTAL,2014,
SWE,TOTAL,2014,32955143
SVN,TOTAL,2014,1307550
SVK,TOTAL,2014,1687772
TUR,TOTAL,2014,123684191
GBR,TOTAL,2014,220295225
AUT,INTL,2013,25173359
BEL,INTL,2013,26551181
BGR,INTL,2013,6909907
CHE,INTL,2013,43733619
CYP,INTL,2013,7139914
CZE,INTL,2013,11903068
DEU,INTL,2013,158975815
DNK,INTL,2013,25657708
EST,INTL,2013,1939418
GRC,INTL,2013,28825829
ESP,INTL,2013,129496530
FIN,INTL,2013,14132032
FRA,INTL,2013,104374028
HRV,INTL,2013,5233405
HUN,INTL,2013,8440890
IRL,INTL,2013,24573007
ISL,INTL,2013,3207445
ITA,INTL,2013,87702097
LTU,INTL,2013,3502247
LUX,INTL,2013,2167783
LVA,INTL,2013,4803110
MNE,INTL,2013,
MKD,INTL,2013,
MLT,INTL,2013,4031518
NLD,INTL,2013,58306836
NOR,INTL,2013,21733386
POL,INTL,2013,22049110
PRT,INTL,2013,26742920
ROU,INTL,2013,9524240
RS,INTL,2013,
SWE,INTL,2013,24464805
SVN,INTL,2013,1269192
SVK,INTL,2013,1541980
TUR,INTL,2013,73921136
GBR,INTL,2013,189305346
AUT,"NAT",2013,653671
BEL,"NAT",2013,50524
BGR,"NAT",2013,196632
CHE,"NAT",2013,604402
CYP,"NAT",2013,122
CZE,"NAT",2013,124469
DEU,"NAT",2013,22903919
DNK,"NAT",2013,1917823
EST,"NAT",2013,19204
GRC,"NAT",2013,5197508
ESP,"NAT",2013,28575596
FIN,"NAT",2013,2474751
FRA,"NAT",2013,29182871
HRV,"NAT",2013,513764
HUN,"NAT",2013,314
IRL,"NAT",2013,71839
ISL,"NAT",2013,0
ITA,"NAT",2013,28637659
LTU,"NAT",2013,145
LUX,"NAT",2013,1315
LVA,"NAT",2013,278
MNE,"NAT",2013,
MKD,"NAT",2013,
MLT,"NAT",2013,330
